sentence,label
never heard of this one though,1
if i'm really hot as yet it reminds me of mix is,0
getting ready for work and then going back home to get my nails done,1
what a beautiful buddy day i,0
i know our lack of logos have had power problems,0
and no lie home to much,0
recovering from meltdown and its sherwood,0
it was the perfect it feels soooo not that i'm super tired right,0
still suffering for a little while,0
yeah not until i shrink those spilled man shared,0
going to take her to the beach to see steven for a couple days,1
i wonder why have a good day ahead of me and be super,0
maybe i 'll get a job soon as my parents would get me a job,1
had an amazing day at the beach,1
hey thanks to the lovely new followers following the love of tweets to twitter,1
gelli i'm going to bed now i have to,1
i think it 's a great song,1
well it will take the day off,1
summer will turn on you too,1
have to admit that one of the best movies ever,1
could someone possibly be the first person,1
i just do n't like it,1
im not feeling better just waking at 430am,1
tell all what is you at the,1
board is a great place for you,1
matt is the best i 've seen in years so i think he 's just,1
i want to go home and watch the f1,1
1 week to go before the move and,1
i want to see what the real star is,1
p i am a huge fan of,1
do n't forget i have n't bought anything,0
jogging was really fun i wish i could get to go,1
i love that guy wrong,0
get 100 followers a day using wwwtweeteraddercom once you add everyone you are on the train or pay vip,0
i type of films i'm on the curb alaska and is a,0
i lacked an essay on william martin,0
nope it 's a bit chilly,1
now we 're having some fun,1
do n't like it that you have n't been doing since november but you,1
you dedicate me fat and exciting at the same time,0
i think my ipod is broken,1
buy all of the along songs,0
i can feel the english dubbed theory classes all,0
i am so tired i have a,1
everything is not as hectic as,0
i have no idea who i am,0
my head was killing me but i was thinking,1
i get paid to go to,0
i hope you have a variety of goodie,0
bride wars a little too much congrats on the job beyonce,0
goddd i am so bored of studying,1
you should check out my millions,0
like the way it has to work in a while,1
i am going through a new phone,1
i am not sure if i should get up early,1
i dunno where the hell integration background is,0
in a good mood and i have no clue what to do with my,1
i am good just remembering everything from yours,0
hope it 'll feel the same and i'm still not a big fan,1
saddest part is i do n't have any of them to,1
you 're a good son,0
or i would 've been invited to the first person in a long,1
sounds familiar with tweetdeck so the monitor is n't available,0
what are you gonna have done with the rest of,1
it was amazing at me but i,0
well it is one of my fav places on ebay,1
i alittle forget what this was,0
i 've eaten the biggest top of,0
very very sad that the weekend has,1
and i will wake up in 4hrs for,0
got a little sneak peek nite tweet,0
i'm so tired but i'm gonna have,1
i talked to bumps in that basket,0
yesterday back to the exciting 311 falls,0
ah well it 's good when you 've got something,1
sorry you did n't get to tweet,0
lovely day for a walk in the sun,1
and i have to go back home to,1
i have to wait until i can go home,1
i know i might ship your cards today,0
im so sick again and school practice town has gone cut and raining ca n't get my hair to dye boo,0
she 's probably crazyness in the,0
nope it was just a joke,1
to bad for anything alone,0
i have an addiction for you too,1
them loaded to be moved there for paramore and devin,0
ca to believe it 's raining,1
lol no fancy lips at some parts,0
i'm a bit of a bad daughter but still,1
and screw me during mice one,0
everyone seems to like your avatar,0
i think i need something to rudy at the first,0
oh i just had a slice of cake and it,1
nope the tag of updating you when web,0
i hate it when you are finishing your impossible progress,0
i am full of strategy reading,0
must say yes we did but the best show,1
what a beautiful buddy day i,0
yeah not until i shrink those spilled man shared,0
go back to bed for me soon,0
u must always try to find smoke food,0
i'm so not going to be able to,1
why ca the world i feel so,1
how 'bout that no money neil henrie,0
i now swore not to remember in the,0
lucas austen amy amp erica are proud of greys boyle,0
cool i am starting to love the jimmy archuleta cover,0
how r u feeling abt crap,0
apple vs file is better but my iphone 's does n't,0
but i think i need to sleep,1
on youtube tyler its 5 mins now haha,0
how do you know what 's wrong,1
quotthat is my favorite song of the,1
only 3 more weeks of school left,1
i think i'm getting a cold and i have to work,1
takin a break and working on my presentation,1
actually the better way the tweetdeck tech left intended working tried to order the,0
followed by the news of the day i am not getting to,1
rob added permission to rain,0
what kiwi one short is going,0
eeeee until 4am leave 230 's,0
ouch havent eaten or wanted to bite lol,0
hope you did to understand that,0
i just killed myself out for,0
graduated 2 calories today first 3 days at it now,0
dead wii springs a day without dancing downpour after fond news about 145 kids first,0
big hugs to all the people,1
just had a lovely bath with a,1
heading to corn i love me some,0
if you 're not in my area,1
and my phone died on my laptop and i ca my charger,1
you 're welcome i want to sleeeeep,0
man i ca n't watch twilight tonight or what,0
i just had a bad nightmare,1
at first place i'm the guy who,1
that 's the only one you should pay attention,0
i'm sure you 've had fun,1
shane has left now so sad quotthat this means i will be taking,0
i sleep like a pig and,0
i wish you could get me one,0
trying out tweetdeck but not to mention,1
sorry about the rain hope you have lots of good weather too xx,1
if it 's on youtube i just thought i 'd check your,1
i think they 're all expired and now it 's time to turn the music up on tv,1
greenville was so good today it 's so beautiful,1
i'm eating lime muffins and jamba juice with yumm,0
it is basically spot available my,0
im sure tasty toto would invest in before,0
heeeey im sure you will never get a chance to see it,1
we talked for 6 many 30,0
yeah i have been to a lot of followers lately so my twitter is,1
at least our and the stuff perfectly did n't ended up bm,0
thanks for dad 's i'm in the it 's a good thing,0
i'm going to miss my connecting class,1
it 's so sad about david carradine,1
whispers sydney 2 c can only pop men,0
hope campbell on 22nd floor did n't forget about being checked out then private,0
hey girl how are u doing 2day,1
right i am off to bed,1
a little bit late but overall i was like,1
i'm bored missing my mommy,0
andrew n chandler go both polar,0
well that was a long ass weekend,1
i'm so sure you 'd look wonder she lives make a good beat,0
everyone will get used to this 100,0
i just saw your reply to that,1
so much to do so little time and a lot of things planned for my,1
today two staff death biz manager hose behind,0
so sad i just been shopping for my flight too,0
something awkward with that urban verse hopefully it was nice woo and thanks anyway lol,0
man i just realized that i did n't get this free,1
guess it 'll work for a while,1
graduated 2 calories today first 3 days at it now,0
hope u guys have good video access or,0
not a good day for the beach,1
it was so much better than i thought it would be but it 's a good thing i 've been slacking out for the,1
conan is rare and called falling shut down,0
aww that 's sad i'm so sorry to see,1
i have to go to work,1
meanwhile i do n't have a,0
at least they get a new phone,1
been up 2 24 hrs tons of time this week,0
the first one turned out to be,1
i 'd show journalism all the guest document details,0
conan is rare and called falling shut down,0
all the things i do to do and i want a,1
hahahaha it 's not the only thing i can find out about my own personal and i ca me,1
i guess i have n't seen a lot of new friends,1
and so others are developed donuts away,0
damn it i just got my phone fixed,1
feeling strangely cba with people then i horny bookmarks and ajax,0
in the process of the week i was a,1
worry about your last update i guess,1
i now swore not to remember in the,0
i am not sure i 'll be able 2 get my new iphone today so,1
good morning everyone hope all is well,1
it 's raining for 4hrs,0
but it 's hot in romania,0
i think you should be in a better place,1
tired and i have to go to work tomorrow,1
i 've slept therefore digging a paper hehehe,0
studying in the park at the,1
i dont like having to leave at,1
lol yeah thats a bummer,0
just like a hundred points each,0
just got a new phone call i,1
are the people that i know who,1
off to bed i have a long day ahead,1
wishing u were here for me with my family for the day i wanna go,1
had the worst dream of my day,1
i love the way my phone sings,1
excited 4 church 20 break now,0
i 'd like to do that again,0
how is everyone there tonight so much is always my day,1
i know its so cruel and that i'm sure of it so far away so if u can meet,1
hey tom got you some me in school solo so,0
i have a headache but my tummy hurts so bad,1
hey tom visit you for like to fast,0
i really wanted to eat that i could n't too spicy choc,0
off to sit sessions for the last hours to do nothing feels so sick here,0
i think i am going crazy,1
what happened 2 my life when i went to sleep and was tired,1
feeling kinda lonely and tired do,0
so proud of mi nighty nite '09,0
shit yeah i have a feeling it 's my fault not,1
i'm at work also mms scoring up array,0
i was wondering when my phone was going to update,1
just got back from a date in nyc,0
why do n't you come back to brazil,1
wow so many of you have been there,1
welcome to the new world and the,1
best of youtube 's weather for a while,1
i was sitting down and on,0
my mom is a huge wreck,1
yeahhhhh but yeah someones amazing and worries,0
would love to see u guys perform,1
i think that 's pretty much what happened,0
bout 2 watch bak later this morning relay for divorce soon and it 's,0
i have a headache and it hurts,1
i wish my mom would have said that the other day,1
3hr day of working but i'm a bit tired,1
as kids changed that look after tobacco docs stand up,0
it 's a sunday roast ali bra,0
chase at ridiculous cement leak exposure found out that bruce 's bonding was canceled,0
are you 11 amp getting a view of solitaire,0
when i get to back in victoria,0
i'm really sad right now i ca n't seem to,0
sounds like a good idea,0
loving the movie on this morning 's game it 's pretty funny,1
ca to wait to see it,1
so much work to catch up on but no worries and i 've still got a few left overs for it,1
friends miffed i'm salty me not all of them guys r headband and i'm just 19,0
oh i know i know what that is like,1
do n't judge me again,0
do not get me wrong,0
getting ready to go to hair candles maybe a wash coat,0
is frustrated with mum 's store today about deadline drinks in the basement maybe,0
i am so glad you 're doing the,1
en route out of the house,1
was invented the bunny workers got fangs,0
well it 's a good thing i have a,1
hi mr drew please please,0
omg my phone died so i had a bad dream,1
everyone seems to like your avatar,0
i talked to bumps in that basket,0
still suffering for a little while,0
ahh that was a good show,1
yay finally i can get back to reality for the night,1
so wearing boots for walkies ugh,0
i just killed myself out for,0
it is so sad to leave the beach without it and it 's not a,1
4 3 year olds walks in castle closed,0
nah sad about it though,0
lifes ok i guess you are now,1
gym issue i did n't do anything work and have a good excuse to answer thanx for sree,0
i have to go back to school tomorrow,1
i had you and a cupcake,0
with my fellow friends of course revolution hahaha what a beautiful,0
i am in london and are,0
its like this for twitter searches,0
have to take my brother to get,1
wondering why i did not go to the gym,1
omg i do n't know if i intend,0
who wants a new job for the summer i am so excited,1
nah sad about it though,0
hopefully it 's back to 24 soon though,0
is watching hollyoaks for the first weekend in about,1
looks like a great day for me to be,1
yay migraine gets better i ca n't sleep,0
wishing that they supported him famous,0
with all the love from my phone and my,1
car shopping at work is the best,1
and tom is on the list,0
i am very disappointed that my iphone is dying,1
i do n't feel so good today,1
us just got into the game,1
you were just kidding i think they 're getting more than 10,1
i 'll have to be there for the kids next time,1
concert 2day have n't seen since,0
just opened the order for the 50 layout 15,0
is the worst part partly hot,0
s i just realized that they 're not in,1
gonna play jax piano so much iv been taunting for some yesterday didnt do any work,0
i am not a big deal,1
how do i turn 19 hours back,0
had super duper fun of my old friends tho,0
well i 'll just have the rest for,1
yes but it 's too far away,1
i can so do it on my ipod,0
that is the best way to start the week and get ready,1
i never thought that the same house wud never let the wind,0
aww darn the channel wo n't come out till you post it,0
good night everybody regardless my logic has n't shown on me and tweetin,0
hope you have an exciting weekend too and,1
sister 's house is a little too small for a sunday,1
i 've had a amazing productive week,0
just like a hundred points each,0
to all my followers who follow,1
return and break pot and now verry nifty,0
ill try and get some sleep,1
actually the better way the tweetdeck tech left intended working tried to order the,0
cleaning an appt to wear my,0
word jam with long term,0
i just had my hair cut,1
np i do not know how to use,1
damn i hate this weather so bad,1
hubby said we were going out to dinner,1
i 've been trusted comments lately,0
if you do it 's not the,1
we all are just too geeky,0
looks forwards wrapped and other clash levels,0
got home from the grocery store to go to the bathroom,1
this am i didnt feel good mad sick,0
damn i was going to give away the go for tomorrow but i ca n't have one for free,0
jess just hit my phone takes,0
i have to go to work,1
wow grace have had a jelly alarm should have had over twin burgers,0
soo tired i need a vacation,1
omgosh os it 's stressful weather risk more scrapbooking when it comes across below information,0
here and on a unrelated note just,0
so i was in the mood to see what,1
might contain a hummingbird wide when i'm able to get it done,0
my friend is leaving for the summer,1
i'm gonna miss her sooooo much,1
reading the book of a book,1
i avoided watching the titanic episode 1 but it sucks,0
bored and tired of working,0
do n't let you die i'm,0
when was my bday dinner,0
is amazed right now tried to sleep wmy,0
they have n't seen you yet,1
oh i know i was so sad,1
repinging and charles movie suits come on,0
ca n't wait for the mtv movie awards tonight,1
btw i was hoping for the better,1
mostly hanging out at the bakery really really feels so alone,0
preparing a bit more of a work and then off,1
do n't judge me again,0
or else have you put on the new one,1
damn i'm having to miss it,1
nobody listens 2 me on my way home,1
yeah huge words i'm talking about,0
might contain a hummingbird wide when i'm able to get it done,0
got sick all set up for a move i had to walk into the shops,0
i wish i could hardly unsubscribe this up,0
you 'll think of us for,0
talking status about mr chow in the corner between georgetown,0
hmmm feel abit miserable this morning sucks ass monday,0
ohh well i guess i 'll be back soon,1
me too i just wanted my bed,1
hope you are having a great day,1
save me quotoh whaaat i will see soon,0
packing after getting ready for class in my new apartment it looks,1
i'm so glad i got to go,1
looks forwards wrapped and other clash levels,0
i just found the link to the show,1
they are so nice i just want to see them again in,1
oh my gosh i'm so tired,1
omg ich lagi lang ako tayo je,0
watching a documentary with my mom,1
you 're an awesome person and,0
says bye bye to my new follower for the day,1
did n't get to spend some waaaay,0
gremlins just got back from the beach,1
may have to go back home to work,1
got into work yesterday hung out with my mom amp uncle tv got a lovely jacket a month ago and kept me,0
ughhh my stomach hurts so baddd right about 2 months,1
i ca me even tho you got to know,1
i wish there would be of,0
i'm eating lime muffins and jamba juice with yumm,0
is in love with her,0
i nd u guys r wicked,0
just finished my last day at the beach with the fam,1
finally found a way home to get out of,1
i'm running heavy eyes on toast rocked by hayfever i still need,0
im not so sure if its fukin cold,0
thinks mine she is perfect,0
a lot of people are following me,1
think i'm going to be sick,1
what 's up seattle inside,0
somehow would have ended anything if i had someone to talk,0
who 's 189 made happy hour,0
we should go to the beach,1
i leave to go see 1 month bus,0
going out to eat some dim sum food,1
the only way to get to go is in the world,1
i get paid to go to,0
guess i should n't ask if it,0
had to fight for a long time id make that way,0
donna very cool night wo what huge,0
i knowww did u get the chance 2 c ur buys 2 airplane offices,0
i can feel the english dubbed theory classes all,0
i caught up with my birthday money catching a date to the new cd called limewire integration,0
too much sympathy looking forward to seeing,0
but hopefully this one shall help with nj,0
hi nice to meet you,0
today was a very sad day for the people,1
how do i invest this twitter thing out for my,0
i was just thinking about written,0
well i hope sucks about that,0
fig to take a pic,0
is stuck in a rut,0
my youtube and purple arrow have no idea how to work with it but still tryin',0
for one that 's a good thing,1
i'm going out for a walk with the,1
you should get it on my blog,1
after all those years i will be in bed,1
and it sure to be rubbish,0
spoke bout stella in the air france bt im a bitch,0
building itunes died nice cracked drive journey,0
good morning good to be back in a good mood finally,0
i caught up with my birthday money catching a date to the new cd called limewire integration,0
that would require a good point of the year,1
make sure you check out your latest post in order in your,1
you 're welcome to join us on the,1
tell alex i thought the best guy is,0
stupid out and nobody driven me to my bus home,0
lemme think im good but do a very sad,1
just got back from back to a,0
tried uploading pics from my trip to la but it 's too far from,1
wow i just realized that my twitter account is n't working,1
lmao good luck when your the mark amp but in,0
lucas austen amy amp erica are proud of greys boyle,0
have been neglecting for a few wks,1
maybe it 's time for me to make some nickname they tips as however,0
that word too many americans wo n't approve,0
it was a great show but i'm sure,1
that 's so cool you are a good friend i am so glad you got it fixed in the morning,1
graduated 2 calories today first 3 days at it now,0
where have you seen any,0
i really wanted to eat that i could n't too spicy choc,0
wow you have n't talked on msn in a while i'm not sure if i,1
its really interesting that but there it goes,0
sorry you did n't get to tweet,0
i tweet but i love you too man,0
now everything is fine missing u too,0
i am a bit upset that the weather is n't helping me,1
i 'll let you check that when i am,1
not sure yet how are you,0
hot hot chocolate pie and water signs where stuff is what it is,0
is going back to bed now i need to get ready to get,1
off to a meeting with the kids,1
i have to wait till i get my,1
so it wo me but ca me,1
do u know if i can get my,1
r i the only one out of control,1
not sure if i 'll be able to tweet much,0
oh noo ca n't make sense,0
shuttle comes to the nearest audience of your business mysteriously or restaurant in,0
tweet from home is very lonely,1
omj i 've made some data during the past,0
was going for a run today,1
nope i have 2 wait till my exams starts 2,1
if u do i 'll be there for you,1
he is such a tease and i'm very,1
wanted u 2 tell a of ur friends,1
trying to fix scholarship words esp on my,0
i 've had a amazing productive week,0
the 16gb looks prettier with 60 blocks aways sunny day ruined,0
she 's a good girl and i love her,1
off to stargate stopped saying good bye,0
yay finally ordered the java player,0
watching regular announcements dunno which series,0
any advice on getting enough spanish,0
too much sympathy looking forward to seeing,0
just had an amazingly fun weekend,1
much appreciated for a day i hope u feel better soon,1
buy all of the along songs,0
ignorance very exciting and i bet it made me feel,0
the pain cut from the spider,0
im sorry i could just not come on msn,1
i am so happy that i have no work to get through,1
mmmm dudes are so much nicer,0
headed to the beach tonight for some odd shopping amp i have a cold in my head,1
i think i should have said,1
is raising technical shortcuts again,0
it just sold out in vancouver,0
i am so bored right now i want my,1
so wearing boots for walkies ugh,0
yeah complete for ms conf but i,0
i wanna definatly belive that jon and kate have i spent,0
this is sad haha i agree,0
how are you at the awards today,1
looking fwd to jess' exam tomorrow,0
that 'd make the earth swell,0
but then it 's a good game,1
i think they were in a bad car for the third thing,1
just got home from work and i'm still tired,1
by the way that is a great article,0
quite a bit of a weekend,1
thanks for the update i was really tempted,0
its a nice one but i do n't know if,1
seen a lot better than yesterday but i had fun,1
amp i am so sorry i missed you,1
right i have a headache and a sore throat and i have a headache and i have,1
my day is almost over gotta catch up soon,0
do n't you worry about that but i do n't think you,1
im not sure if its gunna be good,1
twitter is turning on tweetdeck notice confusion and bricked url systems allows to me,0
joining us at the end of june,1
hey i am a big fan,1
we need more chocolate ice cream,0
i like american apparel think of a,0
nice to see you 're following my blog,1
i think somethings is done with me and i ca n't work at least,0
thanks i did not make it,1
it was just me and my friend,1
hope campbell on 22nd floor did n't forget about being checked out then private,0
grr i hate when people do that,1
u 're now on twitter,0
check and then one of the,0
lmao good luck when your the mark amp but in,0
i will be emailing them to my moms for the summer though i 'll have to go,1
nothing fun than a old gay school philosophy luved,0
that is a nice song to do,1
finally guna study economics practice to study,0
i am a little upset that my,1
no one has any good food,1
yeah you 'll be fine to me,1
thanks you had a great time,1
awww good thing we go meet ca n't wait lost track of history,0
i'm sure you 'll get the perfect nap as well,0
4 guys of nuts sake,0
my phone is dead and it 's so,1
yah it was n't that good but it,1
watching terminator salvation but go east that,0
but hopefully this one shall help with nj,0
we 've got to do it before christmas so it 's good,0
i think i'm going for the rest of the year,1
i have a feeling it 's gonna be a good,1
sooooooo tired upgrading from wordpress tonight my mac is low compared to multiple of my monitors,0
i run to alberta amp back,0
better see angels urself in the morning tweet that 's true true,0
i remember these days i think i was wrong lt333,0
ir are so cute amp sad i hear ian come,0
sucks rite now with the person now,0
ok i am going for the night,1
why is it that i have to work today,1
have n't had a chance 2 get out,1
sick of my job applications on a saturday,1
sewing intro is good the sun,0
wake up to find blank is up in,0
he 's so hot and he is all scratched up,1
i am a big fan of yours i am very happy for you and your fans,1
new moon trailer on july 15 i will,1
has been beaten with his own and,1
just as im 2 years behind during summer hols in italy,0
i am so sorry that i'm still working,1
id rather be in london or the beach or not,1
goodness i just realized i was n't able 2 get out,1
lets see what i can do revisions i,0
i just had to get a car towed to the front,1
the poor spiderman tonight without it but u still do,0
i think i 've got to get up early tomorrow morning,1
gotta go to work now nowt this is,0
oh man i love that song,1
i think my computer has died i want to,0
i am so happy that you 're,1
evidently the rain setting the flu last night,0
my makeup via deleted something,0
watching regular announcements dunno which series,0
swimming sesh amp relax but they,0
wish you were here to celebrate,1
there is a movie that badly said for us month i expect a day to a bang,0
thank god it 's a twitter app,1
that 's what i thought he 'd probably be able to tell you,1
im so sorry i missed your tweet,1
check out cool travel interviews i miss all,0
i 'll send ya a direct msg,1
yay i have a new follower,1
i'm a admit smiley case,0
tired and sore throat is n't feeling good,1
booo my head is killing me and my throat is hurting,1
better than i thought it was i,1
baby girl you have a great voice to,1
it was a good one but it 's not a good thing,1
you 've just started your morning in the,1
i am so sorry i missed your tweet,1
that 's what i'm talking bout and the one i love is a little,1
seems to have gotten a little mixed just about,0
awww going to bed pun,0
groovy issued set on mac essential website,0
wants to go to the beach today and see up,1
now everything is fine missing u too,0
i had you and a cupcake,0
im working on warming computer check out harry potter 2moro,0
sweet dreams and sweet sweet sweet sweet dreams,1
check out for a few weeks,0
love you all too lt3 lt3,1
follow me and i will follow u,1
be sure to send it to your site,1
i'm gonna hate on him,0
i really got no sleep can i,0
dead wii springs a day without dancing downpour after fond news about 145 kids first,0
smile it was an truth to the poa was,0
movies for 24 every resort of never,0
i 've been trusted comments lately,0
i ca n't eat them,0
i want to start a summer with everyone,1
interface is down and i have no money,1
it is basically spot available my,0
oh leaving us hanging contracts back early,0
it 's not a bad thing,1
i love being an inspiration i am not happy,1
i'm not a very fan of twitter but its really good to,1
we 've been stealing my free honda data since budget,0
putting the dog in my lap now to go back to,1
huhu i have to go and get,1
is watching giggles even though i ca n't come,0
what a great day for a wedding party,1
work day work wish i could be out of the house,0
going to take my son off at,1
on the bright side i have to work tonight,1
it 's too early to be practicing,0
i love bampn but we do it hella soon,0
haha do n't want a big girl,1
listening to 90 's keri 32 pounds reinstalled,0
i am very happy for the new,1
uhmm i love you too i miss,1
my new phone has gone on my phone,1
let too many times gotta earn it very fit to weeds,0
get 100 followers a day using wwwtweeterfollowcom once you add everyone you,0
even if it wasnt my birthday we could have stayed there,1
leaving kitchen swings for safety munchkins,0
she 's been sick and my mum has no idea what he has,1
yesterdays i got an email from you and it was great,1
all kinds of gigs to do,0
hmmm didnt know my bff died,0
hi i just had your first follower,1
am back at home waiting to board to get ready,1
got a little sneak peek nite tweet,0
i did read chocolate twisted pepper instead of making myself go with borrowed,0
i do believe i was n't there,1
it 's either presale or pennsylvania,0
i love you so much sweetie,1
i'm from 35 so i do n't finish wax lessons in,0
off work i 've been up since 545,1
just finished my twitter review,0
send some love love your music,1
they start apple h8 90s rock music,0
i still think i 'll get to see wes,1
convo and i can only have fun,1
why is it that when you have to go to work i do not want to,1
i just realized i just watched marley and me again,1
you know i 'll be seeing my mom when i go with him hopefully,0
this is crashing on my mind,0
want to go to bed but ca my,1
beth is the shiz you too,0
only if you have a spare time to get,1
seriously attacks of the heat today,0
damn i have an exam today,1
just lyk how to stay up till 12,0
trying to get my butt back in jammin to new division for,0
but come moment and follow meeee okay thanks,0
gonna be a good day for me,1
is confused and heavy this ca,0
i have n't seen it yet,1
i'm going home now i think i,1
try to get my mind back up,1
do n't forget i have n't bought anything,0
nooo no wonder she said she 'd give me a hard,1
think i'm going to have to go to the dentist today,1
going out for a walk with my mom,1
afternoon twits it 's sunny and rainy out,1
but it 's not working for us i,1
i wonder why i put them in,0
i love having withdrawals love u 2 days,0
my tummy hurts wont happen after tonight tho,0
i am so sorry i missed your tweet,1
if i'm really hot as yet it reminds me of mix is,0
if you 're interested to make me smile,1
my bro just prepping a holiday for lady gaga on her,0
date at my place is so good,1
i just do n't feel like sleeping anymore,0
how r u feeling abt crap,0
falling in love with you,0
keep alert until 10pm and the sub will come,0
maybe they wo n't be around for a week,1
that is a nice picture i just saw in the background,1
was very stuck in the office with no skateboarding,0
best friends night ever at the park with,1
i have been eating too much and work,0
any movie management videos with cvs covering to mill,0
did you get the message from the other side,1
lol yeah but i do n't think today 's going to be good,0
graduated 2 calories today first 3 days at it now,0
noooooooooo i still havnt taken my english heels today,0
put the cat name to the roof in,0
oww getting bad exercise sucks,0
damn i'm getting sick and feeling nauseous and it 's not even funny,1
he has been a bit of a rough weekend,1
at least you get to talk to her,1
good to see the back on my last night as well but i ca my,1
how come i never see you again again,1
taking a break from that one,1
it looks like a beautiful day,1
shane has left now so sad quotthat this means i will be taking,0
that cruise management is addictive moments,0
plan for the day ahead of you,1
headed out with the best friends ever i hate when,1
but i guess i have no idea what to buy,1
obviously i missed out on friday too,1
starbucks true items at collect home depot,0
today is the day every1 jonas,0
off to stargate stopped saying good bye,0
hi i was wondering how many times i,1
i want to sleep but ca there 's so many people i know in my,1
my dvd partial until thursday,0
that cruise management is addictive moments,0
rather busy preparing with mackenzie,0
long day visited the poor leather offers haha awwwh dont you where did the guys get it to you,0
im in a good mood today,0
3rd day of my new day was great for me,1
yay migraine gets better i ca n't sleep,0
time for a new project,0
look forward 2 seeing ur tweets from the show,1
diversity are n't playing with the cavs,1
staying up at an hour till my phone to be fixed,1
still trying 2 find a job,1
starbucks true items at collect home depot,0
he 's not even in the top,1
hope you have fun at your concert,1
mostly hanging out at the bakery really really feels so alone,0
off my aunties and be home then going to see the doctor,1
i'm still here for you too,1
everyone will get used to this 100,0
i think i'm a little tired and a bit sick but i still have a headache,1
being forced for a while is n't a pleasant idea to be,1
which would make me upset when the game ends,1
okay so i'm going out to eat some,1
how 'bout that no money neil henrie,0
is sad that her baby is leaving,1
i have been eating too much and work,0
oh yea a biz map which makes,0
he 's not a fan of me but the movie was good,1
predicting a new bike for my car while running around the house in a big garage,1
the last one is in my hands,1
you should check out my millions,0
just plate with stalkers from home fees is,0
my brother amp nephew are on their way home,1
so sorry i got a little distracted for it but i just got home now,1
finished my first day of school,1
not sure if i 'll be able to tweet much,0
i 've been up for 5 12 hours and it still hurts,1
dead wii springs a day without dancing downpour after fond news about 145 kids first,0
cant wait for summin next week too,0
lost in a few hours ago,1
hi guys how r u guys,1
i now swore not to remember in the,0
free shipping for you to come,1
hey tom just a thought your night would,0
any1 recommend any problems i can send emails to 100000,1
please help us find a good mood today,1
aaand i do n't know how to do this thing,1
tell me about the ads,0
it 's my iphone today,0
thankz for visiting that dear wall,0
realizing that i'm not going on the,1
i have to give if i get my,0
going out to gilmore lake with copenhagen,0
my gut always seems to taste like toe bleed n i love my honey,0
i am in my pjs for a walk but i,1
4 3 year olds walks in castle closed,0
i 've got a sunburn on,0
i 've been wanting for very long this past few weeks,0
i'm deffo running outside in the sun,0
is glad people knocked into the goood at 4am,0
i think i need something to rudy at the first,0
they 're good and was so,0
keep it up for but indy says quotyou are gonna,0
i had to buy a copy to,1
outside the house and i am stuck in,1
u love me it feels embarassed lol,0
new blog on the way it 's gonna take a while but i 'll see the link,1
yes just sayin' surely fd in,0
i am so glad to hear you 've got the,1
got a headache and smile 2 back with e and heather,0
rockin my hair off the floor and the carpet,1
the faint bet is impressive,0
think i'm going to have to get my hands on my own bed,1
but i do barely noe i got way too drunk,0
just plate with stalkers from home fees is,0
is going out for the night,1
yeah huge words i'm talking about,0
i keep forgetting that bald leather regards is,0
2 more hours left and i'm still going,1
maybe tomorrow should be better than yesterday,0
did n't even know it was like a good thing,1
quot how much do i love the interviews though i,0
outside in bed watching the hills finale,1
i'm not sure i can do anything,1
oh well puppy feeding us,0
